,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,East London,-33.0153,27.9116,63.14,84,98,13.56,ZA,2022-07-20 01:37:03
1,Yellowknife,62.456,-114.3525,72.12,53,40,13.8,CA,2022-07-20 01:39:30
2,Rikitea,-23.1203,-134.9692,74.32,76,3,7.92,PF,2022-07-20 01:39:31
3,Mountain Home,43.133,-115.6912,96.28,9,0,5.75,US,2022-07-20 01:39:31
4,Collie,-33.3667,116.15,57.31,65,94,8.41,AU,2022-07-20 01:39:31
5,Cape Town,-33.9258,18.4232,58.37,79,20,7.0,ZA,2022-07-20 01:35:03
6,Labuan,5.2767,115.2417,86.36,79,20,3.44,MY,2022-07-20 01:39:32
7,Avarua,-21.2078,-159.775,77.05,61,40,6.91,CK,2022-07-20 01:39:28
8,Yar-Sale,66.8333,70.8333,61.65,61,97,5.7,RU,2022-07-20 01:39:32
9,Upernavik,72.7868,-56.1549,45.19,76,81,2.35,GL,2022-07-20 01:39:33
10,Vila Franca Do Campo,37.7167,-25.4333,74.19,88,94,5.48,PT,2022-07-20 01:39:33
11,Saskylakh,71.9167,114.0833,44.17,61,100,15.39,RU,2022-07-20 01:35:51
12,Reutte,47.4833,10.7167,67.66,67,100,6.8,AT,2022-07-20 01:39:33
13,Nyurba,63.2842,118.3319,55.18,72,100,9.15,RU,2022-07-20 01:39:34
14,Leningradskiy,69.3833,178.4167,34.57,97,100,21.79,RU,2022-07-20 01:37:05
15,Carnarvon,-24.8667,113.6333,70.34,42,82,12.26,AU,2022-07-20 01:39:34
16,Alofi,-19.0595,-169.9187,78.69,69,40,20.71,NU,2022-07-20 01:39:34
17,Bengkulu,-3.8004,102.2655,80.04,81,95,1.74,ID,2022-07-20 01:39:35
18,Barrow,71.2906,-156.7887,44.62,70,0,17.27,US,2022-07-20 01:39:35
19,Butaritari,3.0707,172.7902,82.63,76,97,15.08,KI,2022-07-20 01:35:47
20,Port Elizabeth,-33.918,25.5701,53.89,97,75,10.36,ZA,2022-07-20 01:39:36
21,Tasiilaq,65.6145,-37.6368,36.5,87,46,5.46,GL,2022-07-20 01:39:36
22,Touros,-5.1989,-35.4608,72.91,87,2,13.47,BR,2022-07-20 01:36:48
23,Hilo,19.7297,-155.09,85.28,70,40,10.36,US,2022-07-20 01:38:23
24,Dikson,73.5069,80.5464,47.16,71,100,12.15,RU,2022-07-20 01:39:37
25,Rawson,-43.3002,-65.1023,52.41,62,94,14.85,AR,2022-07-20 01:39:27
26,Ushuaia,-54.8,-68.3,38.86,81,75,4.61,AR,2022-07-20 01:37:06
27,Lorengau,-2.0226,147.2712,83.7,69,100,6.85,PG,2022-07-20 01:39:37
28,Mataura,-46.1927,168.8643,46.47,73,92,3.96,NZ,2022-07-20 01:39:37
29,Harper,4.375,-7.7169,73.81,72,93,7.58,LR,2022-07-20 01:37:42
30,Saqqez,36.2499,46.2735,69.82,30,0,3.51,IR,2022-07-20 01:39:38
31,Jamestown,42.097,-79.2353,76.64,76,0,5.75,US,2022-07-20 01:34:45
32,Gari,59.4307,62.3497,62.6,99,100,5.57,RU,2022-07-20 01:39:38
33,Hobart,-42.8794,147.3294,48.25,72,20,8.05,AU,2022-07-20 01:39:39
34,Talnakh,69.4865,88.3972,56.21,46,100,1.63,RU,2022-07-20 01:37:00
35,Vaini,-21.2,-175.2,77.16,83,20,12.66,TO,2022-07-20 01:37:46
36,Atuona,-9.8,-139.0333,77.68,72,36,11.83,PF,2022-07-20 01:39:39
37,Jablah,35.3614,35.9256,75.49,57,0,2.3,SY,2022-07-20 01:39:40
38,Kavaratti,10.5669,72.642,81.1,81,100,22.19,IN,2022-07-20 01:39:40
39,Busselton,-33.65,115.3333,59.77,72,96,11.88,AU,2022-07-20 01:39:40
40,Vysokogornyy,50.1167,139.15,61.79,85,100,3.02,RU,2022-07-20 01:39:41
41,Hermanus,-34.4187,19.2345,51.51,77,21,4.61,ZA,2022-07-20 01:39:41
42,Bealanana,-14.55,48.7333,54.39,83,84,10.22,MG,2022-07-20 01:39:41
43,Baykit,61.67,96.37,61.77,77,84,3.71,RU,2022-07-20 01:39:42
44,Mayo,38.8876,-76.5119,82.81,83,0,1.01,US,2022-07-20 01:39:42
45,Iqaluit,63.7506,-68.5145,40.73,93,100,3.44,CA,2022-07-20 01:39:42
46,Tuatapere,-46.1333,167.6833,44.85,80,94,3.27,NZ,2022-07-20 01:39:43
47,Portland,45.5234,-122.6762,90.79,40,0,10.36,US,2022-07-20 01:38:26
48,Catamarca,-28.4696,-65.7852,53.08,54,6,8.43,AR,2022-07-20 01:39:43
49,Chuy,-33.6971,-53.4616,44.98,90,0,5.53,UY,2022-07-20 01:39:43
50,San Jeronimo,-11.9472,-75.2829,45.46,77,15,4.5,PE,2022-07-20 01:39:44
51,Portree,57.4129,-6.1942,54.52,94,98,5.61,GB,2022-07-20 01:39:44
52,Ust-Kuyga,70.0167,135.6,47.52,66,99,16.31,RU,2022-07-20 01:39:44
53,Caravelas,-17.7125,-39.2481,70.3,88,0,4.47,BR,2022-07-20 01:38:49
54,Concordia,-31.393,-58.0209,50.79,91,0,1.99,AR,2022-07-20 01:39:45
55,Ihosy,-22.4,46.1167,53.8,94,51,6.64,MG,2022-07-20 01:39:45
56,Bambous Virieux,-20.3428,57.7575,70.05,68,40,18.41,MU,2022-07-20 01:39:46
57,Mar Del Plata,-38.0023,-57.5575,48.09,74,7,15.99,AR,2022-07-20 01:39:46
58,Vardo,70.3705,31.1107,53.58,100,100,6.91,NO,2022-07-20 01:39:46
59,Abbeville,50.1,1.8333,68.49,90,99,9.01,FR,2022-07-20 01:39:47
60,Tuktoyaktuk,69.4541,-133.0374,50.0,93,100,5.75,CA,2022-07-20 01:39:47
61,Subotica,46.1,19.6667,66.38,37,0,0.65,RS,2022-07-20 01:39:47
62,Naze,28.3667,129.4833,86.92,81,100,15.03,JP,2022-07-20 01:39:48
63,Komsomolskiy,40.4272,71.7189,77.72,27,0,9.22,UZ,2022-07-20 01:39:48
64,General Cepeda,25.3833,-101.45,72.75,55,99,3.44,MX,2022-07-20 01:39:48
65,Orcopampa,-15.2661,-72.3417,46.81,44,22,1.54,PE,2022-07-20 01:39:49
66,Palmer,42.1584,-72.3287,80.15,75,40,3.44,US,2022-07-20 01:39:49
67,Kapaa,22.0752,-159.319,84.18,80,100,17.27,US,2022-07-20 01:37:00
68,Polovinnoye,54.7914,65.9864,66.13,89,92,6.69,RU,2022-07-20 01:39:49
69,Shangzhi,45.2167,127.9667,78.66,68,29,0.51,CN,2022-07-20 01:39:50
70,Porto Santo,33.072,-16.3415,70.18,78,40,9.22,PT,2022-07-20 01:39:50
71,Cidreira,-30.1811,-50.2056,57.65,90,8,5.46,BR,2022-07-20 01:39:50
72,Sao Filipe,14.8961,-24.4956,77.07,84,80,8.55,CV,2022-07-20 01:39:51
73,Port-Gentil,-0.7193,8.7815,73.65,83,19,8.34,GA,2022-07-20 01:39:51
74,Okha,53.5739,142.9478,56.55,90,97,12.26,RU,2022-07-20 01:39:51
75,Raudeberg,61.9875,5.1352,65.07,87,96,26.57,NO,2022-07-20 01:39:52
76,Merauke,-8.4667,140.3333,78.64,83,100,14.94,ID,2022-07-20 01:38:17
77,Chumikan,54.7183,135.315,52.34,99,100,8.66,RU,2022-07-20 01:39:52
78,Port Alfred,-33.5906,26.891,57.18,97,100,3.0,ZA,2022-07-20 01:39:52
79,Port Lincoln,-34.7333,135.8667,52.32,56,88,14.63,AU,2022-07-20 01:39:53
80,Vao,-22.6667,167.4833,73.94,90,21,13.02,NC,2022-07-20 01:39:53
81,Vestmannaeyjar,63.4427,-20.2734,51.73,87,88,13.11,IS,2022-07-20 01:39:53
82,Mahebourg,-20.4081,57.7,69.3,68,78,24.2,MU,2022-07-20 01:39:54
83,Sao Raimundo Nonato,-9.0153,-42.6994,71.56,50,5,4.21,BR,2022-07-20 01:39:54
84,Sretensk,52.2453,117.7093,85.5,33,6,3.27,RU,2022-07-20 01:39:54
85,Srednekolymsk,67.45,153.6833,53.89,43,92,6.51,RU,2022-07-20 01:39:55
86,Gabu,12.2833,-14.2167,73.33,96,100,5.86,GW,2022-07-20 01:39:55
87,Marystown,47.1666,-55.1483,64.85,100,100,17.58,CA,2022-07-20 01:39:55
88,Mananjary,-21.2167,48.3333,66.69,79,61,5.03,MG,2022-07-20 01:39:56
89,Kodiak,57.79,-152.4072,56.71,67,100,6.91,US,2022-07-20 01:35:50
90,Mount Isa,-20.7333,139.5,74.97,29,0,10.36,AU,2022-07-20 01:35:10
91,Kaitangata,-46.2817,169.8464,44.8,78,100,5.97,NZ,2022-07-20 01:39:56
92,Bluff,-46.6,168.3333,46.8,69,100,9.17,NZ,2022-07-20 01:39:57
93,Tiksi,71.6872,128.8694,34.92,96,100,14.41,RU,2022-07-20 01:39:57
94,Aklavik,68.2191,-135.0107,66.69,52,100,10.25,CA,2022-07-20 01:39:57
95,Nizhneangarsk,55.7833,109.55,54.88,82,55,3.4,RU,2022-07-20 01:39:58
96,Nishihara,26.1842,127.7558,87.15,74,20,11.45,JP,2022-07-20 01:39:58
97,Poso,-1.3959,120.7524,84.51,64,62,1.68,ID,2022-07-20 01:39:58
98,Kasongo-Lunda,-6.4667,16.8167,67.98,80,50,2.1,CD,2022-07-20 01:39:59
99,Mackay,-21.15,149.2,72.68,78,100,13.85,AU,2022-07-20 01:39:59
100,Souillac,-20.5167,57.5167,68.13,72,44,22.03,MU,2022-07-20 01:39:59
101,Katsuura,35.1333,140.3,87.82,77,86,5.46,JP,2022-07-20 01:38:09
102,Gorontalo,0.5412,123.0595,85.57,69,100,3.09,ID,2022-07-20 01:40:00
103,Jiayuguan,39.8167,98.3,75.99,23,82,8.23,CN,2022-07-20 01:40:00
104,Saint-Joseph,-21.3667,55.6167,69.21,72,24,19.24,RE,2022-07-20 01:40:01
105,Hithadhoo,-0.6,73.0833,81.77,72,99,6.89,MV,2022-07-20 01:37:35
106,Besikduzu,41.052,39.2284,71.49,78,67,8.03,TR,2022-07-20 01:40:01
107,Ducheng,23.2373,111.5317,89.78,63,55,5.53,CN,2022-07-20 01:40:01
108,Punta Arenas,-53.15,-70.9167,35.71,87,75,43.73,CL,2022-07-20 01:37:53
109,Torbay,47.6666,-52.7314,63.28,95,100,19.57,CA,2022-07-20 01:35:48
110,Saint-Philippe,-21.3585,55.7679,70.21,74,48,18.66,RE,2022-07-20 01:40:02
111,Pangoa,-12.1167,-73.0,68.22,97,79,2.06,PE,2022-07-20 01:40:02
112,Qaanaaq,77.484,-69.3632,40.93,75,95,2.04,GL,2022-07-20 01:40:03
113,Chingirlau,51.095,54.0814,63.43,71,50,6.49,KZ,2022-07-20 01:40:03
114,Bredasdorp,-34.5322,20.0403,46.04,87,13,3.38,ZA,2022-07-20 01:38:48
115,Planaltina,-15.4528,-47.6142,61.11,44,9,5.08,BR,2022-07-20 01:40:04
116,Constitucion,-35.3333,-72.4167,47.41,62,0,7.31,CL,2022-07-20 01:37:14
117,Saint-Augustin,51.226,-58.6502,54.28,93,100,21.0,CA,2022-07-20 01:40:04
118,Coahuayana,18.7333,-103.6833,80.17,87,56,2.66,MX,2022-07-20 01:40:05
119,Ca Mau,9.1769,105.15,82.51,81,100,8.46,VN,2022-07-20 01:40:05
120,Hun,29.1268,15.9477,75.07,54,0,5.01,LY,2022-07-20 01:40:05
121,Alice Springs,-23.7,133.8833,64.44,30,2,10.45,AU,2022-07-20 01:35:50
122,Laguna,38.421,-121.4238,102.31,16,0,13.8,US,2022-07-20 01:40:06
123,Jalu,29.0331,21.5482,75.18,50,2,10.29,LY,2022-07-20 01:39:28
124,Biharamulo,-2.6319,31.3089,60.73,59,37,2.95,TZ,2022-07-20 01:40:06
125,Lebu,-37.6167,-73.65,47.84,86,25,3.27,CL,2022-07-20 01:40:07
126,Tereze,43.9361,42.4434,58.32,98,87,1.41,RU,2022-07-20 01:40:07
127,Bubaque,11.2833,-15.8333,78.57,83,100,16.28,GW,2022-07-20 01:40:08
128,Pacifica,37.6138,-122.4869,76.71,87,20,23.02,US,2022-07-20 01:40:08
129,Rio Gallegos,-51.6226,-69.2181,35.65,64,0,27.63,AR,2022-07-20 01:40:08
130,Kochubey,44.3861,46.5825,73.17,55,99,8.68,RU,2022-07-20 01:40:09
131,Ponta Do Sol,32.6667,-17.1,70.43,79,15,7.36,PT,2022-07-20 01:40:09
132,Flinders,-34.5833,150.8552,56.17,87,77,7.0,AU,2022-07-20 01:35:55
133,Puerto Ayora,-0.7393,-90.3518,68.56,96,55,5.01,EC,2022-07-20 01:40:10
134,Lazaro Cardenas,17.9583,-102.2,80.96,86,38,7.7,MX,2022-07-20 01:40:10
135,Albany,42.6001,-73.9662,76.42,77,56,5.08,US,2022-07-20 01:40:10
136,Poum,-20.2333,164.0167,76.21,84,100,7.47,NC,2022-07-20 01:40:11
137,Orlik,52.5178,99.825,54.81,63,79,1.14,RU,2022-07-20 01:40:11
138,Grenville,12.1167,-61.6167,80.65,83,15,14.05,GD,2022-07-20 01:40:12
139,Chokurdakh,70.6333,147.9167,48.9,58,100,7.36,RU,2022-07-20 01:40:12
140,Conakry,9.538,-13.6773,77.0,85,100,12.21,GN,2022-07-20 01:40:12
141,Praxedis Guerrero,31.3667,-106.0167,99.14,15,1,6.11,MX,2022-07-20 01:40:13
142,Geraldton,-28.7667,114.6,59.41,77,89,12.66,AU,2022-07-20 01:36:59
143,Ahipara,-35.1667,173.1667,59.2,79,34,9.44,NZ,2022-07-20 01:40:13
144,Yazman,29.1212,71.7446,91.87,60,10,17.29,PK,2022-07-20 01:40:13
145,Kahului,20.8947,-156.47,87.82,45,40,18.41,US,2022-07-20 01:38:17
146,Victoria,22.2855,114.1577,91.45,81,100,10.92,HK,2022-07-20 01:38:41
147,Kushima,31.4583,131.2333,87.96,70,90,11.3,JP,2022-07-20 01:40:14
148,Tautira,-17.7333,-149.15,76.93,69,4,4.14,PF,2022-07-20 01:40:15
149,Fairbanks,64.8378,-147.7164,55.36,88,100,6.91,US,2022-07-20 01:35:23
150,Celinac,44.7228,17.3278,56.07,48,0,4.07,BA,2022-07-20 01:40:15
151,Khatanga,71.9667,102.5,48.36,50,100,19.33,RU,2022-07-20 01:40:15
152,Arraial Do Cabo,-22.9661,-42.0278,69.53,90,0,12.46,BR,2022-07-20 01:40:16
153,Anadyr,64.75,177.4833,49.19,74,100,15.88,RU,2022-07-20 01:40:16
154,Lengshuijiang,27.6881,111.4294,85.78,79,100,4.92,CN,2022-07-20 01:40:16
155,Castro,-24.7911,-50.0119,57.87,95,1,2.8,BR,2022-07-20 01:40:17
156,Bahia Blanca,-38.7196,-62.2724,54.39,42,2,18.99,AR,2022-07-20 01:40:17
157,Saint Anthony,45.0205,-93.218,82.92,42,0,5.99,US,2022-07-20 01:40:17
158,Aguimes,27.9054,-15.4461,74.03,47,0,24.16,ES,2022-07-20 01:40:18
159,Cherskiy,68.75,161.3,47.14,59,69,12.5,RU,2022-07-20 01:40:18
160,Floro,61.5996,5.0328,66.16,68,75,28.77,NO,2022-07-20 01:40:18
161,Kadhan,24.481,68.9859,83.46,80,100,15.99,PK,2022-07-20 01:40:19
162,Niksic,42.7731,18.9445,53.46,59,0,6.04,ME,2022-07-20 01:40:19
163,Lasa,46.6166,10.7002,72.48,91,57,1.77,IT,2022-07-20 01:40:19
164,New Norfolk,-42.7826,147.0587,47.91,55,4,1.14,AU,2022-07-20 01:37:39
165,Akhmim,26.5622,31.745,80.8,24,0,5.46,EG,2022-07-20 01:40:20
166,Saldanha,-33.0117,17.9442,54.14,74,0,14.29,ZA,2022-07-20 01:40:20
167,Georgetown,5.4112,100.3354,82.13,78,83,1.21,MY,2022-07-20 01:40:20
168,Ancud,-41.8697,-73.8203,51.22,95,100,19.1,CL,2022-07-20 01:40:21
169,Lingao,19.9103,109.6859,85.82,73,100,15.14,CN,2022-07-20 01:40:21
170,Hanko,59.8333,22.95,51.15,68,1,16.51,FI,2022-07-20 01:40:21
171,Oyem,1.5995,11.5793,66.72,98,99,2.82,GA,2022-07-20 01:40:22
172,Piacabucu,-10.4056,-36.4344,72.37,84,0,7.25,BR,2022-07-20 01:40:22
173,Maceio,-9.6658,-35.7353,74.64,83,0,3.44,BR,2022-07-20 01:40:22
174,Marfino,55.7028,37.3822,53.74,81,0,2.24,RU,2022-07-20 01:40:23
175,Mombasa,-4.0547,39.6636,73.99,80,92,16.24,KE,2022-07-20 01:40:23
176,Ozernovskiy,51.5,156.5167,57.74,85,95,2.46,RU,2022-07-20 01:40:23
177,Dalvik,65.9702,-18.5286,51.73,97,100,6.69,IS,2022-07-20 01:40:24
178,Northam,51.0333,-4.2167,64.38,91,77,8.23,GB,2022-07-20 01:38:50
179,Lukovetskiy,64.2956,41.9211,61.65,87,96,11.1,RU,2022-07-20 01:40:24
180,Shenjiamen,29.9576,122.298,80.22,88,100,14.63,CN,2022-07-20 01:40:25
181,Camacha,33.0833,-16.3333,67.42,78,40,9.22,PT,2022-07-20 01:40:25
182,Port Blair,11.6667,92.75,79.3,87,100,12.17,IN,2022-07-20 01:40:25
183,Dagda,56.0951,27.5372,53.8,97,80,8.66,LV,2022-07-20 01:40:26
184,Blackwater,-23.5833,148.8833,68.27,49,19,14.27,AU,2022-07-20 01:40:26
185,Ilulissat,69.2167,-51.1,42.44,86,97,4.74,GL,2022-07-20 01:40:26
186,Zhezkazgan,47.8043,67.7144,67.98,32,20,6.71,KZ,2022-07-20 01:40:27
187,Namibe,-15.1961,12.1522,61.3,87,0,6.82,AO,2022-07-20 01:40:27
188,Baruun-Urt,46.6806,113.2792,79.93,31,56,8.03,MN,2022-07-20 01:40:27
189,Bethel,41.3712,-73.414,83.48,73,84,3.6,US,2022-07-20 01:36:57
190,Tateyama,34.9833,139.8667,87.73,78,73,2.26,JP,2022-07-20 01:40:28
191,San Patricio,28.017,-97.5169,88.54,73,0,18.63,US,2022-07-20 01:40:28
192,Paamiut,61.994,-49.6678,44.55,97,100,3.71,GL,2022-07-20 01:40:29
193,Faanui,-16.4833,-151.75,77.76,67,21,6.69,PF,2022-07-20 01:40:29
194,Koidu,8.4167,-10.8333,69.31,98,100,1.72,SL,2022-07-20 01:40:29
195,Nizwa,22.9333,57.5333,81.64,80,50,3.31,OM,2022-07-20 01:40:30
196,Manokwari,-0.8667,134.0833,75.2,91,100,3.76,ID,2022-07-20 01:40:30
197,Kamaishi,39.2667,141.8833,75.69,89,82,7.34,JP,2022-07-20 01:40:30
198,Westport,41.1415,-73.3579,86.09,71,0,5.75,US,2022-07-20 01:40:30
199,Dwarka,22.2394,68.9678,82.2,82,100,16.51,IN,2022-07-20 01:40:31
200,Nikolskoye,59.7035,30.7861,57.09,94,55,8.55,RU,2022-07-20 01:40:31
201,Nome,64.5011,-165.4064,46.47,66,75,12.66,US,2022-07-20 01:40:31
202,Pasighat,28.0667,95.3333,78.44,97,100,1.48,IN,2022-07-20 01:40:32
203,Mazagao,-0.115,-51.2894,78.85,90,100,3.74,BR,2022-07-20 01:40:32
204,Hegra,63.4644,11.114,57.11,94,75,8.05,NO,2022-07-20 01:40:32
205,Camocim,-2.9022,-40.8411,76.05,87,74,7.9,BR,2022-07-20 01:37:15
206,Yulara,-25.2406,130.9889,64.26,30,0,13.94,AU,2022-07-20 01:40:33
207,Haines Junction,60.7522,-137.5108,58.95,55,100,11.5,CA,2022-07-20 01:40:33
208,Sao Joao Da Barra,-21.6403,-41.0511,70.14,92,77,9.42,BR,2022-07-20 01:40:33
209,Airai,-8.9266,125.4092,69.39,45,72,2.37,TL,2022-07-20 01:40:34
210,Bay Roberts,47.5999,-53.2648,64.06,98,100,8.01,CA,2022-07-20 01:40:34
211,Sur,22.5667,59.5289,83.39,81,47,8.55,OM,2022-07-20 01:40:34
212,Kaeo,-35.1,173.7833,61.93,71,25,10.96,NZ,2022-07-20 01:40:35
213,Lompoc,34.6391,-120.4579,89.74,77,0,17.27,US,2022-07-20 01:38:53
214,Praya,14.9215,-23.5087,77.54,83,20,3.44,CV,2022-07-20 01:40:35
215,Sindor,62.8629,51.8905,61.05,98,100,7.81,RU,2022-07-20 01:40:35
216,Buala,-8.145,159.5921,85.28,65,13,6.8,SB,2022-07-20 01:40:36
217,Kurilsk,45.2333,147.8833,57.78,85,100,7.58,RU,2022-07-20 01:40:36
218,Seoul,37.5683,126.9778,83.1,59,100,3.91,KR,2022-07-20 01:38:27
219,Makakilo City,21.3469,-158.0858,84.52,56,20,12.66,US,2022-07-20 01:40:37
220,Dubbo,-32.25,148.6167,60.93,55,100,19.57,AU,2022-07-20 01:40:37
221,Taltal,-25.4,-70.4833,58.57,75,16,1.74,CL,2022-07-20 01:40:21
222,Kautokeino,69.0125,23.0412,50.81,92,100,12.08,NO,2022-07-20 01:40:37
223,Junagadh,21.5167,70.4667,78.35,90,100,6.98,IN,2022-07-20 01:40:38
224,Goderich,43.7501,-81.7165,72.91,90,93,4.36,CA,2022-07-20 01:39:52
225,Mount Gambier,-37.8333,140.7667,51.4,54,0,2.89,AU,2022-07-20 01:40:33
226,Esperance,-33.8667,121.9,58.64,73,100,14.56,AU,2022-07-20 01:40:38
227,Husavik,66.0449,-17.3389,46.27,95,100,7.47,IS,2022-07-20 01:40:39
228,Totness,5.8833,-56.3167,78.13,86,100,10.11,SR,2022-07-20 01:35:39
229,Tura,25.5198,90.2201,75.33,98,100,6.73,IN,2022-07-20 01:39:21
230,Bocanda,7.0626,-4.4995,69.08,89,96,4.5,CI,2022-07-20 01:40:39
231,Puerto Escondido,15.85,-97.0667,81.55,85,41,5.23,MX,2022-07-20 01:40:39
232,Cabedelo,-6.9811,-34.8339,74.07,83,11,15.26,BR,2022-07-20 01:40:40
233,Guajara,-2.9667,-57.6667,81.18,65,98,2.35,BR,2022-07-20 01:40:40
234,Pevek,69.7008,170.3133,32.45,97,100,13.73,RU,2022-07-20 01:40:03
235,Arman,59.7,150.1667,75.02,72,40,5.57,RU,2022-07-20 01:40:40
236,Beringovskiy,63.05,179.3167,54.27,67,64,25.03,RU,2022-07-20 01:40:41
237,Neiafu,-18.65,-173.9833,81.28,69,40,12.66,TO,2022-07-20 01:40:41
238,Kalmunai,7.4167,81.8167,80.29,78,100,4.27,LK,2022-07-20 01:40:41
239,Aktas,49.7789,72.9608,70.7,33,15,8.61,KZ,2022-07-20 01:40:42
240,Jimenez,28.3333,-105.4,95.81,14,77,9.73,MX,2022-07-20 01:40:42
241,Nyakabindi,-2.6333,33.9833,61.3,69,18,8.48,TZ,2022-07-20 01:40:42
242,Kruisfontein,-34.0033,24.7314,50.88,91,100,8.1,ZA,2022-07-20 01:40:43
243,Safranbolu,41.2508,32.6942,54.75,91,0,1.86,TR,2022-07-20 01:40:43
244,Gimli,50.6336,-96.9907,73.42,68,100,13.8,CA,2022-07-20 01:40:43
245,Zhigansk,66.7697,123.3711,49.69,61,74,19.44,RU,2022-07-20 01:40:44
246,Agadez,19.75,10.25,88.5,17,84,7.9,NE,2022-07-20 01:40:44
247,Lamu,-2.2717,40.902,73.62,72,95,17.05,KE,2022-07-20 01:40:44
248,Port Hedland,-20.3167,118.5667,74.32,39,0,19.04,AU,2022-07-20 01:40:45
249,Nanortalik,60.1432,-45.2371,46.67,96,100,9.8,GL,2022-07-20 01:36:57
250,Kavieng,-2.5744,150.7967,82.78,73,99,7.74,PG,2022-07-20 01:40:45
251,Patur,20.45,76.9333,74.44,89,97,7.9,IN,2022-07-20 01:40:45
252,Samarai,-10.6167,150.6667,82.22,73,48,6.67,PG,2022-07-20 01:40:40
253,Smithers,54.7804,-127.1743,66.52,45,20,6.91,CA,2022-07-20 01:40:46
254,Kongsberg,59.6652,9.6465,59.43,79,100,3.67,NO,2022-07-20 01:40:46
255,Yerbogachen,61.2767,108.0108,71.47,55,71,5.17,RU,2022-07-20 01:40:47
256,Gambela,8.25,34.5833,68.32,98,100,2.73,ET,2022-07-20 01:40:47
257,Rio Grande,-32.035,-52.0986,45.95,87,0,6.49,BR,2022-07-20 01:40:47
258,Taoudenni,22.6783,-3.9836,89.15,44,5,6.55,ML,2022-07-20 01:40:48
259,Yazd,31.8972,54.3675,80.71,12,0,4.61,IR,2022-07-20 01:40:48
260,Isangel,-19.55,169.2667,81.28,72,2,10.78,VU,2022-07-20 01:40:48
261,Shambu,9.5667,37.1,49.6,94,100,1.59,ET,2022-07-20 01:40:49
262,Daru,-9.0763,143.2092,78.35,89,100,12.01,PG,2022-07-20 01:40:49
263,Olinda,-8.0089,-34.8553,74.93,78,75,8.05,BR,2022-07-20 01:40:49
264,Sena Madureira,-9.0656,-68.6569,77.61,61,99,2.75,BR,2022-07-20 01:40:50
265,Fort Nelson,58.8053,-122.7002,68.92,39,80,9.82,CA,2022-07-20 01:40:50
266,Buraydah,26.326,43.975,82.85,14,1,6.44,SA,2022-07-20 01:39:23
267,Walla Walla,46.0646,-118.343,93.87,24,0,9.22,US,2022-07-20 01:40:50
268,Magnitogorsk,53.4186,59.0472,62.78,72,100,8.95,RU,2022-07-20 01:40:51
269,Nouakchott,18.0858,-15.9785,78.73,88,60,16.96,MR,2022-07-20 01:40:51
270,Bandarbeyla,9.4942,50.8122,77.34,65,50,30.53,SO,2022-07-20 01:40:51
271,Roebourne,-20.7833,117.1333,74.59,29,0,15.9,AU,2022-07-20 01:40:52
272,San Policarpo,12.1791,125.5072,84.81,77,7,7.25,PH,2022-07-20 01:40:52
273,Surab,28.4914,66.2585,75.16,61,98,1.77,PK,2022-07-20 01:40:52
274,Lavrentiya,65.5833,-171.0,43.2,66,98,9.66,RU,2022-07-20 01:40:53
275,Xingyi,24.1877,102.817,69.4,87,99,3.06,CN,2022-07-20 01:40:53
276,Bijar,35.8668,47.6051,67.17,37,0,5.3,IR,2022-07-20 01:40:53
277,Santa Vitoria Do Palmar,-33.5189,-53.3681,45.5,89,0,5.64,BR,2022-07-20 01:40:54
278,Sarakhs,36.5449,61.1577,82.58,22,0,8.84,IR,2022-07-20 01:40:54
279,Thompson,55.7435,-97.8558,78.28,37,93,5.01,CA,2022-07-20 01:39:58
280,Saraland,30.8207,-88.0706,86.05,79,78,6.93,US,2022-07-20 01:40:54
281,Saint George,37.1041,-113.5841,106.39,16,0,11.5,US,2022-07-20 01:40:09
282,Tigil,57.8,158.6667,71.76,53,98,16.17,RU,2022-07-20 01:40:55
